$ kubectl logs  kindnet-6fq8s -n kube-system
I0404 11:30:14.329597       1 main.go:301] handling current node
I0404 11:30:24.330128       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:30:24.330170       1 main.go:301] handling current node
I0404 11:30:34.328937       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:30:34.328963       1 main.go:301] handling current node
I0404 11:30:44.328759       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:30:44.328827       1 main.go:301] handling current node
I0404 11:30:54.339335       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:30:54.339392       1 main.go:301] handling current node
I0404 11:31:04.333940       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:31:04.333988       1 main.go:301] handling current node
I0404 11:31:14.329253       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:31:14.329300       1 main.go:301] handling current node
I0404 11:31:24.341429       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:31:24.341493       1 main.go:301] handling current node
I0404 11:31:34.328626       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:31:34.328672       1 main.go:301] handling current node
I0404 11:31:44.329791       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:31:44.329846       1 main.go:301] handling current node
I0404 11:31:54.341268       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:31:54.341313       1 main.go:301] handling current node
I0404 11:32:04.331087       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:32:04.331134       1 main.go:301] handling current node
I0404 11:32:14.329286       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:32:14.329347       1 main.go:301] handling current node
I0404 11:32:24.332350       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:32:24.332425       1 main.go:301] handling current node
I0404 11:32:34.331374       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:32:34.331414       1 main.go:301] handling current node
I0404 11:32:44.329055       1 main.go:297] Handling node with IPs: map[172.25.0.2:{} fc00:f853:ccd:e793::2:{}]
I0404 11:32:44.329113       1 main.go:301] handling current node
I0404 11:32:54.338597       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:32:54.338684       1 main.go:301] handling current node
I0404 11:33:04.333428       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:33:04.333502       1 main.go:301] handling current node
I0404 11:33:14.332067       1 main.go:297] Handling node with IPs: map[172.25.0.2:{} fc00:f853:ccd:e793::2:{}]
I0404 11:33:14.332126       1 main.go:301] handling current node
I0404 11:33:24.335869       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:33:24.335943       1 main.go:301] handling current node
I0404 11:33:34.329870       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:33:34.329913       1 main.go:301] handling current node
I0404 11:33:44.332144       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:33:44.332191       1 main.go:301] handling current node
I0404 11:33:54.339550       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:33:54.339623       1 main.go:301] handling current node
I0404 11:34:04.329077       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:34:04.329126       1 main.go:301] handling current node
I0404 11:34:14.329845       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:34:14.329913       1 main.go:301] handling current node
I0404 11:34:24.329158       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:34:24.329202       1 main.go:301] handling current node
I0404 11:34:34.328801       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:34:34.328831       1 main.go:301] handling current node
I0404 11:34:44.336073       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:34:44.336231       1 main.go:301] handling current node
I0404 11:34:54.338248       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:34:54.338324       1 main.go:301] handling current node
I0404 11:35:04.329421       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:35:04.329505       1 main.go:301] handling current node
I0404 11:35:14.329507       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
